Product ID,Code,Product Name,Image URL,Created Date,CHR File Name,DP URL,Brand,DP Categories,Sub-Folders,Notes,Description,Attributes,Sales Rep,Dealer,Unit of Measure,Budgeted Cost,Actual Cost,Qty,Nested Products
14060112,SH-S.36,DURECON METAL,https://content.designerpages.com/assets/82426517/Palmieri3highDureconMetalShelving.png,2025-12-16 21:44:17 UTC,,http://designerpages.com/manufacturers/palmieri-furniture,Palmieri Furniture,SHELVING,,Include all hardware as required.,"3 high, mobile, standard single face wood bookcase with metal shelving on concealed casters.","Model #: DM-4212-S-36|DIMENSIONS: |Width: 37.25""|Depth: 12""|Height: 42""|Shelf Depth: 11.5""|FEATURES: |Case: Wood veneer. |Shelves: Flat Standard painted metal shelves.|Number of Shelves: 2 adjustable shelves. |Number of Openings: 3|Base: Standard wood kickplate on metal mobile bottom frame - finish to match the case.",,,,,,17,Castle Oak on Oak - Palmieri Furniture|Charcoal - Palmieri Furniture
14056586,ST-1,HOKKI,https://content.designerpages.com/assets/82410657/VSHokkistool.png,2025-12-09 18:40:25 UTC,,http://designerpages.com/manufacturers/vs-america,VS America ,STOOL,,,Polypropylene stool with lightweight foam pad.,"Model #: 03825|DIMENSIONS: |Seat Width: 13.6""|Seat Height: 18.15""|FEATURES: |Seat: Polypropylene with foam pad",,,,,,12,Black Grey - VS America 
14054244,ST-2,HANDY,https://content.designerpages.com/assets/82412711/LelandHandystool.png,2025-12-09 18:40:25 UTC,,http://designerpages.com/manufacturers/leland-international,Leland International,STOOL,,,Upholstered seat onlay with polypropylene shell stool.,"Model #: HYS-U-DL-COM|DIMENSIONS: |Width: 16""|Depth: 14.5""|Overall Height: 18.25""|FEATURES: |Seat: Upholstered seat onlay.|Base: Polypropylene shell.",,,,,,5,Particle - DesignTex|Dolphin - Leland International
14056906,ST-3,MEDICAL AND LAB STOOLS (EXAM),https://content.designerpages.com/assets/82412760/KIMedicalStool.png,2025-12-09 18:40:26 UTC,,http://designerpages.com/manufacturers/ki,KI,STOOL,,,Upholstered medical exam stool with casters. ,"Model #: KICL12|DIMENSIONS: |Seat Diameter: 16""|Overall Width: 19""|Overall Height: 21""|Seat Height: 16""-21""|FEATURES: |Seat: Upholstered seat. 
5"" seat height range with hand activation pneumatic. |Base: Casters for hard floors. ",,,,,,3,Holy Cow - Pallas Textiles
14058432,STR-1,WAVEWORKS,https://content.designerpages.com/assets/82419400/STR1KimballBookshelf.jpg,2026-01-08 16:37:45 UTC,,http://designerpages.com/manufacturers/national-office-furniutre,National by Kimball International,STORAGE,,,Tall bookcase with adjustable shelves. ,"Model #: WW3679BCOFL NW|DIMENSIONS: |Width: 36""|Depth: 14""|Height: 66""|FEATURES: |Case: 5 shelf open bookcase with 3 adjustable shelves in HPL. |Options: Include factory-installed leveling glides for carpet flooring.",,,,,,8,Tuscan - Kimball International
14058432,STR-2,WAVEWORKS,https://content.designerpages.com/assets/82419400/STR1KimballBookshelf.jpg,2025-12-09 18:40:27 UTC,,http://designerpages.com/manufacturers/national-office-furniutre,National by Kimball International,STORAGE,,,Tall bookcase with adjustable shelves. ,"Model #: WW3679BCOFL NW|DIMENSIONS: |Width: 36""|Depth: 14""|Height: 66""|FEATURES: |Case: 5 shelf open bookcase with 3 adjustable shelves in HPL. |Options: Include factory-installed leveling glides for carpet flooring.",,,,,,4,Tuscan - Kimball International
14057534,TA-1,STRUCTURE,https://content.designerpages.com/assets/82414947/AllsteelStructurerectangulartablenew.png,2025-12-09 18:40:27 UTC,,http://designerpages.com/manufacturers/allsteel-inc,Allsteel,TABLE - ACTIVITY,,,Conference table with rectangular shaped with HPL top and community legs. ,"Top Model #: AMPTLF48120RE-LPE1-PE-C2.
|Base Model #: AMPTCL6-P28-GN.|DIMENSIONS: |Width: 48""|Depth: 120""|Height: 29""|FEATURES: |Top: Rectangular top with HPL finish. |Edge: Flat square edge, finish to match the top. |Leg: Community Legs. Provide a recessed channel with cover to route cords from floor to undersurface. Includes glides for carpet floors.|Power/Data: Provide (2) 10' corded power includes 4 power outlets, 2 USB-A, 2 USB-C and wireless charging (surfaced mounted).
Power data ports should locate on each end of table.|Power Management: Include wire management strips/channels underside of surface (AWRSTRIP).",,,,,,1,Phantom Ecru - Allsteel|Fossil - Allsteel
14057548,TA-2,ADMIX,https://content.designerpages.com/assets/82414948/AllsteelAdmixDtopwithtvstand.png,2025-12-09 18:40:28 UTC,,http://designerpages.com/manufacturers/allsteel-inc,Allsteel,TABLE - ACTIVITY,,,Media center wall with integrated table and an HPL work surface.,"Top Model #: Top:   ATLADM-TBMED-4884F-LPE1-PE-GN.
|Base Model #: ATLADM-BAMEDIAM4848S-P28-GLD.|Media Wall Model #: ATLADM-MTWALLF-60SX-LPE1-NBLE36.|DIMENSIONS: |Width: 84""|Depth: 48""|Height: 29""|FEATURES: |Top: Bulb media top with HPL top. |Edge: Flat square edge - finish to match the top. |Medial Wall: Fabric media wall with table attached for standard height. |TV Wall Mount Bracket: Include mounting hardware and conforms to tv displays. The bracket shall be attached to Media Wall Fabric Panel. |Leg/Base: Attached bases (2 legs) in standard height with media wall. Provide glides for hard floors. |Power/Data: Provide one (1) standard plug power (surface mounted). The unit shall include two (3) power outlets, one (1) USB-A port, one (2) USB-C port, a network jack, HDMI, and wire charging. The power module shall be centered along the depth of the table.|Wire Management : Include PET undersurface wire management tray.",,,,,,3,Phantom Ecru - Allsteel|Fossil - Allsteel|Noble-Monarch - Allsteel
14057553,TA-3660C,ADMIX,https://content.designerpages.com/assets/82414955/AllsteelAdmixtelescopinglegs.png,2025-12-09 18:40:28 UTC,,http://designerpages.com/manufacturers/allsteel-inc,Allsteel,TABLE - ACTIVITY,,,Rounded rectangular counter height table with HPL top and telescoping legs. ,"Top Model #: ATLADM-TMRREC-3660F-X-LNU1-NU-GN.
|Base Model #: ATLADM-BMTGM3660C-P28-WHB.|DIMENSIONS: |Width: 60""|Depth: 36""|Height: 36""|FEATURES: |Top: Rectangular top with HPL finish. |Edge: Flat square edge - finish to match the top. |Base: Counter-height telescoping legs with painted metal finish.
Wheelbarrow Black (2 Glides + 2 Casters Black) -WHB.|Power/Data: No power/data. ",,,,,,6,Neo Walnut - Allsteel|Fossil - Allsteel
14057562,TA-3660S,ADMIX,https://content.designerpages.com/assets/82414984/AllsteelAdmixtelescopinglegs.png,2025-12-09 18:40:29 UTC,,http://designerpages.com/manufacturers/allsteel-inc,Allsteel,TABLE - ACTIVITY,,,Rounded rectangular seated height table with HPL top and telescoping legs. ,"Top Model #: ATLADM-TMRREC-3660F-X-LNU-1-NU-GN.
|Base Model #: ATLADM-BMTGM3660S-P28-WHB.|DIMENSIONS: |Width: 60""|Depth: 36""|Height: 29""|FEATURES: |Top: Rounded rectangular top with HPL finish.|Edge: Flat square edge - finish to match the top. |Base: Seated-height telescoping legs with painted metal finish.
Wheelbarrow Black (2 Glides + 2 Casters Black) - WHB.",,,,,,5,Neo Walnut - Allsteel|Fossil - Allsteel
14057565,TA-3672S,ADMIX,https://content.designerpages.com/assets/82414993/AllsteelAdmixtelescopinglegs.png,2025-12-09 18:40:30 UTC,,http://designerpages.com/manufacturers/allsteel-inc,Allsteel,TABLE - ACTIVITY,,,Rounded rectangular seated height table with HPL top and telescoping legs.,"Top Model #: ATLADM-TMRREC-3672F-X-LNU1-NU-GN.
|Base Model #: ATLADM-BMTGM3672S-P28-WHB.|DIMENSIONS: |Width: 72""|Depth: 36""|Height: 29""|FEATURES: |Top: Rounded rectangular top with HPL finish.|Edge: Flat square edge - finish to match the top. |Base: Seated-height telescoping legs with painted metal finish.
Wheelbarrow Black (2 Glides + 2 Casters Black) - WHB.|Power/Data: No power/data. ",,,,,,2,Neo Walnut - Allsteel|Fossil - Allsteel
